Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
548,6.2,2.9,4.3,1.3,Iris-versicolor
549,5.1,2.5,3,1.1,Iris-versicolor
550,5.7,2.8,4.1,1.3,Iris-versicolor
551,6.3,3.3,6,2.5,Iris-virginica
552,5.8,2.7,5.1,1.9,Iris-virginica
553,7.1,3,5.9,2.1,Iris-virginica
554,6.3,2.9,5.6,1.8,Iris-virginica
555,6.5,3,5.8,2.2,Iris-virginica
556,7.6,3,6.6,2.1,Iris-virginica
557,4.9,2.5,4.5,1.7,Iris-virginica
558,7.3,2.9,6.3,1.8,Iris-virginica
559,6.7,2.5,5.8,1.8,Iris-virginica
560,7.2,3.6,6.1,2.5,Iris-virginica
561,6.5,3.2,5.1,2,Iris-virginica
562,6.4,2.7,5.3,1.9,Iris-virginica
563,6.8,3,5.5,2.1,Iris-virginica
564,5.7,2.5,5,2,Iris-virginica
565,5.8,2.8,5.1,2.4,Iris-virginica
566,6.4,3.2,5.3,2.3,Iris-virginica
567,6.5,3,5.5,1.8,Iris-virginica
568,7.7,3.8,6.7,2.2,Iris-virginica
569,7.7,2.6,6.9,2.3,Iris-virginica
570,6,2.2,5,1.5,Iris-virginica
571,6.9,3.2,5.7,2.3,Iris-virginica
572,5.6,2.8,4.9,2,Iris-virginica
573,7.7,2.8,6.7,2,Iris-virginica
574,6.3,2.7,4.9,1.8,Iris-virginica
575,6.7,3.3,5.7,2.1,Iris-virginica
576,7.2,3.2,6,1.8,Iris-virginica
577,6.2,2.8,4.8,1.8,Iris-virginica
578,6.1,3,4.9,1.8,Iris-virginica
579,6.4,2.8,5.6,2.1,Iris-virginica
580,7.2,3,5.8,1.6,Iris-virginica
581,7.4,2.8,6.1,1.9,Iris-virginica
582,7.9,3.8,6.4,2,Iris-virginica
583,6.4,2.8,5.6,2.2,Iris-virginica
584,6.3,2.8,5.1,1.5,Iris-virginica
585,6.1,2.6,5.6,1.4,Iris-virginica
586,7.7,3,6.1,2.3,Iris-virginica
587,6.3,3.4,5.6,2.4,Iris-virginica
588,6.4,3.1,5.5,1.8,Iris-virginica
589,6,3,4.8,1.8,Iris-virginica
590,6.9,3.1,5.4,2.1,Iris-virginica
591,6.7,3.1,5.6,2.4,Iris-virginica
592,6.9,3.1,5.1,2.3,Iris-virginica
593,5.8,2.7,5.1,1.9,Iris-virginica
594,6.8,3.2,5.9,2.3,Iris-virginica
595,6.7,3.3,5.7,2.5,Iris-virginica
596,6.7,3,5.2,2.3,Iris-virginica
597,6.3,2.5,5,1.9,Iris-virginica
598,6.5,3,5.2,2,Iris-virginica
599,6.2,3.4,5.4,2.3,Iris-virginica
600,5.9,3,5.1,1.8,Iris-virginica
601,5.1,3.5,1.4,0.2,Iris-setosa
602,4.9,3,1.4,0.2,Iris-setosa
603,4.7,3.2,1.3,0.2,Iris-setosa
604,4.6,3.1,1.5,0.2,Iris-setosa
605,5,3.6,1.4,0.2,Iris-setosa
606,5.4,3.9,1.7,0.4,Iris-setosa
607,4.6,3.4,1.4,0.3,Iris-setosa
608,5,3.4,1.5,0.2,Iris-setosa
609,4.4,2.9,1.4,0.2,Iris-setosa
610,4.9,3.1,1.5,0.1,Iris-setosa
611,5.4,3.7,1.5,0.2,Iris-setosa
612,4.8,3.4,1.6,0.2,Iris-setosa
613,4.8,3,1.4,0.1,Iris-setosa
614,4.3,3,1.1,0.1,Iris-setosa
615,5.8,4,1.2,0.2,Iris-setosa
616,5.7,4.4,1.5,0.4,Iris-setosa
617,5.4,3.9,1.3,0.4,Iris-setosa
618,5.1,3.5,1.4,0.3,Iris-setosa
619,5.7,3.8,1.7,0.3,Iris-setosa
620,5.1,3.8,1.5,0.3,Iris-setosa
621,5.4,3.4,1.7,0.2,Iris-setosa
622,5.1,3.7,1.5,0.4,Iris-setosa
623,4.6,3.6,1,0.2,Iris-setosa
624,5.1,3.3,1.7,0.5,Iris-setosa
625,4.8,3.4,1.9,0.2,Iris-setosa
626,5,3,1.6,0.2,Iris-setosa
627,5,3.4,1.6,0.4,Iris-setosa
628,5.2,3.5,1.5,0.2,Iris-setosa
629,5.2,3.4,1.4,0.2,Iris-setosa
630,4.7,3.2,1.6,0.2,Iris-setosa
631,4.8,3.1,1.6,0.2,Iris-setosa
632,5.4,3.4,1.5,0.4,Iris-setosa
633,5.2,4.1,1.5,0.1,Iris-setosa
634,5.5,4.2,1.4,0.2,Iris-setosa
635,4.9,3.1,1.5,0.1,Iris-setosa
636,5,3.2,1.2,0.2,Iris-setosa
637,5.5,3.5,1.3,0.2,Iris-setosa
638,4.9,3.1,1.5,0.1,Iris-setosa
639,4.4,3,1.3,0.2,Iris-setosa
640,5.1,3.4,1.5,0.2,Iris-setosa
641,5,3.5,1.3,0.3,Iris-setosa
642,4.5,2.3,1.3,0.3,Iris-setosa
643,4.4,3.2,1.3,0.2,Iris-setosa
644,5,3.5,1.6,0.6,Iris-setosa
645,5.1,3.8,1.9,0.4,Iris-setosa
646,4.8,3,1.4,0.3,Iris-setosa
647,5.1,3.8,1.6,0.2,Iris-setosa
648,4.6,3.2,1.4,0.2,Iris-setosa
649,5.3,3.7,1.5,0.2,Iris-setosa
650,5,3.3,1.4,0.2,Iris-setosa
651,7,3.2,4.7,1.4,Iris-versicolor
652,6.4,3.2,4.5,1.5,Iris-versicolor
653,6.9,3.1,4.9,1.5,Iris-versicolor
654,5.5,2.3,4,1.3,Iris-versicolor
655,6.5,2.8,4.6,1.5,Iris-versicolor
656,5.7,2.8,4.5,1.3,Iris-versicolor
657,6.3,3.3,4.7,1.6,Iris-versicolor
658,4.9,2.4,3.3,1,Iris-versicolor
659,6.6,2.9,4.6,1.3,Iris-versicolor
660,5.2,2.7,3.9,1.4,Iris-versicolor
661,5,2,3.5,1,Iris-versicolor
662,5.9,3,4.2,1.5,Iris-versicolor
663,6,2.2,4,1,Iris-versicolor
664,6.1,2.9,4.7,1.4,Iris-versicolor
665,5.6,2.9,3.6,1.3,Iris-versicolor
666,6.7,3.1,4.4,1.4,Iris-versicolor
667,5.6,3,4.5,1.5,Iris-versicolor
668,5.8,2.7,4.1,1,Iris-versicolor
669,6.2,2.2,4.5,1.5,Iris-versicolor
670,5.6,2.5,3.9,1.1,Iris-versicolor
671,5.9,3.2,4.8,1.8,Iris-versicolor
672,6.1,2.8,4,1.3,Iris-versicolor
673,6.3,2.5,4.9,1.5,Iris-versicolor
674,6.1,2.8,4.7,1.2,Iris-versicolor
675,6.4,2.9,4.3,1.3,Iris-versicolor
676,6.6,3,4.4,1.4,Iris-versicolor
677,6.8,2.8,4.8,1.4,Iris-versicolor
678,6.7,3,5,1.7,Iris-versicolor
679,6,2.9,4.5,1.5,Iris-versicolor
680,5.7,2.6,3.5,1,Iris-versicolor
681,5.5,2.4,3.8,1.1,Iris-versicolor
682,5.5,2.4,3.7,1,Iris-versicolor
683,5.8,2.7,3.9,1.2,Iris-versicolor
684,6,2.7,5.1,1.6,Iris-versicolor
685,5.4,3,4.5,1.5,Iris-versicolor
686,6,3.4,4.5,1.6,Iris-versicolor
687,6.7,3.1,4.7,1.5,Iris-versicolor
688,6.3,2.3,4.4,1.3,Iris-versicolor
689,5.6,3,4.1,1.3,Iris-versicolor
690,5.5,2.5,4,1.3,Iris-versicolor
691,5.5,2.6,4.4,1.2,Iris-versicolor
692,6.1,3,4.6,1.4,Iris-versicolor
693,5.8,2.6,4,1.2,Iris-versicolor
694,5,2.3,3.3,1,Iris-versicolor
695,5.6,2.7,4.2,1.3,Iris-versicolor
696,5.7,3,4.2,1.2,Iris-versicolor
697,5.7,2.9,4.2,1.3,Iris-versicolor
698,6.2,2.9,4.3,1.3,Iris-versicolor
699,5.1,2.5,3,1.1,Iris-versicolor
700,5.7,2.8,4.1,1.3,Iris-versicolor
701,6.3,3.3,6,2.5,Iris-virginica
702,5.8,2.7,5.1,1.9,Iris-virginica
703,7.1,3,5.9,2.1,Iris-virginica
704,6.3,2.9,5.6,1.8,Iris-virginica
705,6.5,3,5.8,2.2,Iris-virginica
706,7.6,3,6.6,2.1,Iris-virginica
707,4.9,2.5,4.5,1.7,Iris-virginica
708,7.3,2.9,6.3,1.8,Iris-virginica
709,6.7,2.5,5.8,1.8,Iris-virginica
710,7.2,3.6,6.1,2.5,Iris-virginica
711,6.5,3.2,5.1,2,Iris-virginica
712,6.4,2.7,5.3,1.9,Iris-virginica
713,6.8,3,5.5,2.1,Iris-virginica
714,5.7,2.5,5,2,Iris-virginica
715,5.8,2.8,5.1,2.4,Iris-virginica
716,6.4,3.2,5.3,2.3,Iris-virginica
717,6.5,3,5.5,1.8,Iris-virginica
718,7.7,3.8,6.7,2.2,Iris-virginica
719,7.7,2.6,6.9,2.3,Iris-virginica
720,6,2.2,5,1.5,Iris-virginica
721,6.9,3.2,5.7,2.3,Iris-virginica
722,5.6,2.8,4.9,2,Iris-virginica
723,7.7,2.8,6.7,2,Iris-virginica
724,6.3,2.7,4.9,1.8,Iris-virginica
725,6.7,3.3,5.7,2.1,Iris-virginica
726,7.2,3.2,6,1.8,Iris-virginica
727,6.2,2.8,4.8,1.8,Iris-virginica
728,6.1,3,4.9,1.8,Iris-virginica
729,6.4,2.8,5.6,2.1,Iris-virginica
730,7.2,3,5.8,1.6,Iris-virginica
731,7.4,2.8,6.1,1.9,Iris-virginica
732,7.9,3.8,6.4,2,Iris-virginica
733,6.4,2.8,5.6,2.2,Iris-virginica
734,6.3,2.8,5.1,1.5,Iris-virginica
735,6.1,2.6,5.6,1.4,Iris-virginica
736,7.7,3,6.1,2.3,Iris-virginica
737,6.3,3.4,5.6,2.4,Iris-virginica
738,6.4,3.1,5.5,1.8,Iris-virginica
739,6,3,4.8,1.8,Iris-virginica
740,6.9,3.1,5.4,2.1,Iris-virginica
741,6.7,3.1,5.6,2.4,Iris-virginica
742,6.9,3.1,5.1,2.3,Iris-virginica
743,5.8,2.7,5.1,1.9,Iris-virginica
744,6.8,3.2,5.9,2.3,Iris-virginica
745,6.7,3.3,5.7,2.5,Iris-virginica
746,6.7,3,5.2,2.3,Iris-virginica
747,6.3,2.5,5,1.9,Iris-virginica
748,6.5,3,5.2,2,Iris-virginica
749,6.2,3.4,5.4,2.3,Iris-virginica
750,5.9,3,5.1,1.8,Iris-virginica
751,5.1,3.5,1.4,0.2,Iris-setosa
752,4.9,3,1.4,0.2,Iris-setosa
753,4.7,3.2,1.3,0.2,Iris-setosa
754,4.6,3.1,1.5,0.2,Iris-setosa
755,5,3.6,1.4,0.2,Iris-setosa
756,5.4,3.9,1.7,0.4,Iris-setosa
757,4.6,3.4,1.4,0.3,Iris-setosa
758,5,3.4,1.5,0.2,Iris-setosa
759,4.4,2.9,1.4,0.2,Iris-setosa
760,4.9,3.1,1.5,0.1,Iris-setosa
761,5.4,3.7,1.5,0.2,Iris-setosa
762,4.8,3.4,1.6,0.2,Iris-setosa
763,4.8,3,1.4,0.1,Iris-setosa
764,4.3,3,1.1,0.1,Iris-setosa
765,5.8,4,1.2,0.2,Iris-setosa
766,5.7,4.4,1.5,0.4,Iris-setosa
767,5.4,3.9,1.3,0.4,Iris-setosa
768,5.1,3.5,1.4,0.3,Iris-setosa
769,5.7,3.8,1.7,0.3,Iris-setosa
770,5.1,3.8,1.5,0.3,Iris-setosa
771,5.4,3.4,1.7,0.2,Iris-setosa
772,5.1,3.7,1.5,0.4,Iris-setosa
773,4.6,3.6,1,0.2,Iris-setosa
774,5.1,3.3,1.7,0.5,Iris-setosa
775,4.8,3.4,1.9,0.2,Iris-setosa
776,5,3,1.6,0.2,Iris-setosa
777,5,3.4,1.6,0.4,Iris-setosa
778,5.2,3.5,1.5,0.2,Iris-setosa
779,5.2,3.4,1.4,0.2,Iris-setosa
780,4.7,3.2,1.6,0.2,Iris-setosa
781,4.8,3.1,1.6,0.2,Iris-setosa
782,5.4,3.4,1.5,0.4,Iris-setosa
783,5.2,4.1,1.5,0.1,Iris-setosa
784,5.5,4.2,1.4,0.2,Iris-setosa
785,4.9,3.1,1.5,0.1,Iris-setosa
786,5,3.2,1.2,0.2,Iris-setosa
787,5.5,3.5,1.3,0.2,Iris-setosa
788,4.9,3.1,1.5,0.1,Iris-setosa
789,4.4,3,1.3,0.2,Iris-setosa
790,5.1,3.4,1.5,0.2,Iris-setosa
791,5,3.5,1.3,0.3,Iris-setosa
792,4.5,2.3,1.3,0.3,Iris-setosa
793,4.4,3.2,1.3,0.2,Iris-setosa
794,5,3.5,1.6,0.6,Iris-setosa
795,5.1,3.8,1.9,0.4,Iris-setosa
796,4.8,3,1.4,0.3,Iris-setosa
797,5.1,3.8,1.6,0.2,Iris-setosa
798,4.6,3.2,1.4,0.2,Iris-setosa
799,5.3,3.7,1.5,0.2,Iris-setosa
800,5,3.3,1.4,0.2,Iris-setosa
801,7,3.2,4.7,1.4,Iris-versicolor
802,6.4,3.2,4.5,1.5,Iris-versicolor
803,6.9,3.1,4.9,1.5,Iris-versicolor
804,5.5,2.3,4,1.3,Iris-versicolor
805,6.5,2.8,4.6,1.5,Iris-versicolor
806,5.7,2.8,4.5,1.3,Iris-versicolor
807,6.3,3.3,4.7,1.6,Iris-versicolor
808,4.9,2.4,3.3,1,Iris-versicolor
809,6.6,2.9,4.6,1.3,Iris-versicolor
810,5.2,2.7,3.9,1.4,Iris-versicolor
811,5,2,3.5,1,Iris-versicolor
812,5.9,3,4.2,1.5,Iris-versicolor
813,6,2.2,4,1,Iris-versicolor
814,6.1,2.9,4.7,1.4,Iris-versicolor
815,5.6,2.9,3.6,1.3,Iris-versicolor
816,6.7,3.1,4.4,1.4,Iris-versicolor
817,5.6,3,4.5,1.5,Iris-versicolor
818,5.8,2.7,4.1,1,Iris-versicolor
819,6.2,2.2,4.5,1.5,Iris-versicolor
820,5.6,2.5,3.9,1.1,Iris-versicolor
821,5.9,3.2,4.8,1.8,Iris-versicolor
822,6.1,2.8,4,1.3,Iris-versicolor
823,6.3,2.5,4.9,1.5,Iris-versicolor
824,6.1,2.8,4.7,1.2,Iris-versicolor
825,6.4,2.9,4.3,1.3,Iris-versicolor
826,6.6,3,4.4,1.4,Iris-versicolor
827,6.8,2.8,4.8,1.4,Iris-versicolor
828,6.7,3,5,1.7,Iris-versicolor
829,6,2.9,4.5,1.5,Iris-versicolor
830,5.7,2.6,3.5,1,Iris-versicolor
831,5.5,2.4,3.8,1.1,Iris-versicolor
832,5.5,2.4,3.7,1,Iris-versicolor
833,5.8,2.7,3.9,1.2,Iris-versicolor
834,6,2.7,5.1,1.6,Iris-versicolor
835,5.4,3,4.5,1.5,Iris-versicolor
836,6,3.4,4.5,1.6,Iris-versicolor
837,6.7,3.1,4.7,1.5,Iris-versicolor
838,6.3,2.3,4.4,1.3,Iris-versicolor
839,5.6,3,4.1,1.3,Iris-versicolor
840,5.5,2.5,4,1.3,Iris-versicolor
841,5.5,2.6,4.4,1.2,Iris-versicolor
842,6.1,3,4.6,1.4,Iris-versicolor
843,5.8,2.6,4,1.2,Iris-versicolor
844,5,2.3,3.3,1,Iris-versicolor
845,5.6,2.7,4.2,1.3,Iris-versicolor
846,5.7,3,4.2,1.2,Iris-versicolor
847,5.7,2.9,4.2,1.3,Iris-versicolor
848,6.2,2.9,4.3,1.3,Iris-versicolor
849,5.1,2.5,3,1.1,Iris-versicolor
850,5.7,2.8,4.1,1.3,Iris-versicolor
851,6.3,3.3,6,2.5,Iris-virginica
852,5.8,2.7,5.1,1.9,Iris-virginica
853,7.1,3,5.9,2.1,Iris-virginica
854,6.3,2.9,5.6,1.8,Iris-virginica
855,6.5,3,5.8,2.2,Iris-virginica
856,7.6,3,6.6,2.1,Iris-virginica
857,4.9,2.5,4.5,1.7,Iris-virginica
858,7.3,2.9,6.3,1.8,Iris-virginica
859,6.7,2.5,5.8,1.8,Iris-virginica
860,7.2,3.6,6.1,2.5,Iris-virginica
861,6.5,3.2,5.1,2,Iris-virginica
862,6.4,2.7,5.3,1.9,Iris-virginica
863,6.8,3,5.5,2.1,Iris-virginica
864,5.7,2.5,5,2,Iris-virginica
865,5.8,2.8,5.1,2.4,Iris-virginica
866,6.4,3.2,5.3,2.3,Iris-virginica
867,6.5,3,5.5,1.8,Iris-virginica
868,7.7,3.8,6.7,2.2,Iris-virginica
869,7.7,2.6,6.9,2.3,Iris-virginica
870,6,2.2,5,1.5,Iris-virginica
871,6.9,3.2,5.7,2.3,Iris-virginica
872,5.6,2.8,4.9,2,Iris-virginica
873,7.7,2.8,6.7,2,Iris-virginica
874,6.3,2.7,4.9,1.8,Iris-virginica
875,6.7,3.3,5.7,2.1,Iris-virginica
876,7.2,3.2,6,1.8,Iris-virginica
877,6.2,2.8,4.8,1.8,Iris-virginica
878,6.1,3,4.9,1.8,Iris-virginica
879,6.4,2.8,5.6,2.1,Iris-virginica
880,7.2,3,5.8,1.6,Iris-virginica
881,7.4,2.8,6.1,1.9,Iris-virginica
882,7.9,3.8,6.4,2,Iris-virginica
883,6.4,2.8,5.6,2.2,Iris-virginica
884,6.3,2.8,5.1,1.5,Iris-virginica
885,6.1,2.6,5.6,1.4,Iris-virginica
886,7.7,3,6.1,2.3,Iris-virginica
887,6.3,3.4,5.6,2.4,Iris-virginica
888,6.4,3.1,5.5,1.8,Iris-virginica
889,6,3,4.8,1.8,Iris-virginica
890,6.9,3.1,5.4,2.1,Iris-virginica
891,6.7,3.1,5.6,2.4,Iris-virginica
892,6.9,3.1,5.1,2.3,Iris-virginica
893,5.8,2.7,5.1,1.9,Iris-virginica
894,6.8,3.2,5.9,2.3,Iris-virginica
895,6.7,3.3,5.7,2.5,Iris-virginica
896,6.7,3,5.2,2.3,Iris-virginica
897,6.3,2.5,5,1.9,Iris-virginica
898,6.5,3,5.2,2,Iris-virginica
899,6.2,3.4,5.4,2.3,Iris-virginica
900,5.9,3,5.1,1.8,Iris-virginica
901,5.1,3.5,1.4,0.2,Iris-setosa
902,4.9,3,1.4,0.2,Iris-setosa
903,4.7,3.2,1.3,0.2,Iris-setosa
904,4.6,3.1,1.5,0.2,Iris-setosa
905,5,3.6,1.4,0.2,Iris-setosa
906,5.4,3.9,1.7,0.4,Iris-setosa
907,4.6,3.4,1.4,0.3,Iris-setosa
908,5,3.4,1.5,0.2,Iris-setosa
909,4.4,2.9,1.4,0.2,Iris-setosa
910,4.9,3.1,1.5,0.1,Iris-setosa
911,5.4,3.7,1.5,0.2,Iris-setosa
912,4.8,3.4,1.6,0.2,Iris-setosa
913,4.8,3,1.4,0.1,Iris-setosa
914,4.3,3,1.1,0.1,Iris-setosa
915,5.8,4,1.2,0.2,Iris-setosa
916,5.7,4.4,1.5,0.4,Iris-setosa
917,5.4,3.9,1.3,0.4,Iris-setosa
918,5.1,3.5,1.4,0.3,Iris-setosa
919,5.7,3.8,1.7,0.3,Iris-setosa
920,5.1,3.8,1.5,0.3,Iris-setosa
921,5.4,3.4,1.7,0.2,Iris-setosa
922,5.1,3.7,1.5,0.4,Iris-setosa
923,4.6,3.6,1,0.2,Iris-setosa
924,5.1,3.3,1.7,0.5,Iris-setosa
925,4.8,3.4,1.9,0.2,Iris-setosa
926,5,3,1.6,0.2,Iris-setosa
927,5,3.4,1.6,0.4,Iris-setosa
928,5.2,3.5,1.5,0.2,Iris-setosa
929,5.2,3.4,1.4,0.2,Iris-setosa
930,4.7,3.2,1.6,0.2,Iris-setosa
931,4.8,3.1,1.6,0.2,Iris-setosa
932,5.4,3.4,1.5,0.4,Iris-setosa
933,5.2,4.1,1.5,0.1,Iris-setosa
934,5.5,4.2,1.4,0.2,Iris-setosa
935,4.9,3.1,1.5,0.1,Iris-setosa
936,5,3.2,1.2,0.2,Iris-setosa
937,5.5,3.5,1.3,0.2,Iris-setosa
938,4.9,3.1,1.5,0.1,Iris-setosa
939,4.4,3,1.3,0.2,Iris-setosa
940,5.1,3.4,1.5,0.2,Iris-setosa
941,5,3.5,1.3,0.3,Iris-setosa
942,4.5,2.3,1.3,0.3,Iris-setosa
943,4.4,3.2,1.3,0.2,Iris-setosa
944,5,3.5,1.6,0.6,Iris-setosa
945,5.1,3.8,1.9,0.4,Iris-setosa
946,4.8,3,1.4,0.3,Iris-setosa
947,5.1,3.8,1.6,0.2,Iris-setosa
948,4.6,3.2,1.4,0.2,Iris-setosa
949,5.3,3.7,1.5,0.2,Iris-setosa
950,5,3.3,1.4,0.2,Iris-setosa
951,7,3.2,4.7,1.4,Iris-versicolor
952,6.4,3.2,4.5,1.5,Iris-versicolor
953,6.9,3.1,4.9,1.5,Iris-versicolor
954,5.5,2.3,4,1.3,Iris-versicolor
955,6.5,2.8,4.6,1.5,Iris-versicolor
956,5.7,2.8,4.5,1.3,Iris-versicolor
957,6.3,3.3,4.7,1.6,Iris-versicolor
958,4.9,2.4,3.3,1,Iris-versicolor
959,6.6,2.9,4.6,1.3,Iris-versicolor
960,5.2,2.7,3.9,1.4,Iris-versicolor
961,5,2,3.5,1,Iris-versicolor
962,5.9,3,4.2,1.5,Iris-versicolor
963,6,2.2,4,1,Iris-versicolor
964,6.1,2.9,4.7,1.4,Iris-versicolor
965,5.6,2.9,3.6,1.3,Iris-versicolor
966,6.7,3.1,4.4,1.4,Iris-versicolor
967,5.6,3,4.5,1.5,Iris-versicolor
968,5.8,2.7,4.1,1,Iris-versicolor
969,6.2,2.2,4.5,1.5,Iris-versicolor
970,5.6,2.5,3.9,1.1,Iris-versicolor
971,5.9,3.2,4.8,1.8,Iris-versicolor
972,6.1,2.8,4,1.3,Iris-versicolor
973,6.3,2.5,4.9,1.5,Iris-versicolor
974,6.1,2.8,4.7,1.2,Iris-versicolor
975,6.4,2.9,4.3,1.3,Iris-versicolor
976,6.6,3,4.4,1.4,Iris-versicolor
977,6.8,2.8,4.8,1.4,Iris-versicolor
978,6.7,3,5,1.7,Iris-versicolor
979,6,2.9,4.5,1.5,Iris-versicolor
980,5.7,2.6,3.5,1,Iris-versicolor
981,5.5,2.4,3.8,1.1,Iris-versicolor
982,5.5,2.4,3.7,1,Iris-versicolor
983,5.8,2.7,3.9,1.2,Iris-versicolor
984,6,2.7,5.1,1.6,Iris-versicolor
985,5.4,3,4.5,1.5,Iris-versicolor
986,6,3.4,4.5,1.6,Iris-versicolor
987,6.7,3.1,4.7,1.5,Iris-versicolor
988,6.3,2.3,4.4,1.3,Iris-versicolor
989,5.6,3,4.1,1.3,Iris-versicolor
990,5.5,2.5,4,1.3,Iris-versicolor
991,5.5,2.6,4.4,1.2,Iris-versicolor
992,6.1,3,4.6,1.4,Iris-versicolor
993,5.8,2.6,4,1.2,Iris-versicolor
994,5,2.3,3.3,1,Iris-versicolor
995,5.6,2.7,4.2,1.3,Iris-versicolor
996,5.7,3,4.2,1.2,Iris-versicolor
997,5.7,2.9,4.2,1.3,Iris-versicolor
998,6.2,2.9,4.3,1.3,Iris-versicolor
999,5.1,2.5,3,1.1,Iris-versicolor
1000,5.7,2.8,4.1,1.3,Iris-versicolor
1001,6.3,3.3,6,2.5,Iris-virginica
1002,5.8,2.7,5.1,1.9,Iris-virginica
1003,7.1,3,5.9,2.1,Iris-virginica
1004,6.3,2.9,5.6,1.8,Iris-virginica
1005,6.5,3,5.8,2.2,Iris-virginica
1006,7.6,3,6.6,2.1,Iris-virginica
1007,4.9,2.5,4.5,1.7,Iris-virginica
1008,7.3,2.9,6.3,1.8,Iris-virginica
1009,6.7,2.5,5.8,1.8,Iris-virginica
1010,7.2,3.6,6.1,2.5,Iris-virginica
1011,6.5,3.2,5.1,2,Iris-virginica
1012,6.4,2.7,5.3,1.9,Iris-virginica
1013,6.8,3,5.5,2.1,Iris-virginica
1014,5.7,2.5,5,2,Iris-virginica
1015,5.8,2.8,5.1,2.4,Iris-virginica
1016,6.4,3.2,5.3,2.3,Iris-virginica
1017,6.5,3,5.5,1.8,Iris-virginica
1018,7.7,3.8,6.7,2.2,Iris-virginica
1019,7.7,2.6,6.9,2.3,Iris-virginica
1020,6,2.2,5,1.5,Iris-virginica
1021,6.9,3.2,5.7,2.3,Iris-virginica
1022,5.6,2.8,4.9,2,Iris-virginica
1023,7.7,2.8,6.7,2,Iris-virginica
1024,6.3,2.7,4.9,1.8,Iris-virginica
1025,6.7,3.3,5.7,2.1,Iris-virginica
1026,7.2,3.2,6,1.8,Iris-virginica
1027,6.2,2.8,4.8,1.8,Iris-virginica
1028,6.1,3,4.9,1.8,Iris-virginica
1029,6.4,2.8,5.6,2.1,Iris-virginica
1030,7.2,3,5.8,1.6,Iris-virginica
1031,7.4,2.8,6.1,1.9,Iris-virginica
1032,7.9,3.8,6.4,2,Iris-virginica
1033,6.4,2.8,5.6,2.2,Iris-virginica
1034,6.3,2.8,5.1,1.5,Iris-virginica
1035,6.1,2.6,5.6,1.4,Iris-virginica
1036,7.7,3,6.1,2.3,Iris-virginica
1037,6.3,3.4,5.6,2.4,Iris-virginica
1038,6.4,3.1,5.5,1.8,Iris-virginica
1039,6,3,4.8,1.8,Iris-virginica
1040,6.9,3.1,5.4,2.1,Iris-virginica
1041,6.7,3.1,5.6,2.4,Iris-virginica
1042,6.9,3.1,5.1,2.3,Iris-virginica
1043,5.8,2.7,5.1,1.9,Iris-virginica
1044,6.8,3.2,5.9,2.3,Iris-virginica
1045,6.7,3.3,5.7,2.5,Iris-virginica
1046,6.7,3,5.2,2.3,Iris-virginica
1047,6.3,2.5,5,1.9,Iris-virginica
1048,6.5,3,5.2,2,Iris-virginica
1049,6.2,3.4,5.4,2.3,Iris-virginica
1050,5.9,3,5.1,1.8,Iris-virginica
1051,5.1,3.5,1.4,0.2,Iris-setosa
1052,4.9,3,1.4,0.2,Iris-setosa
1053,4.7,3.2,1.3,0.2,Iris-setosa
1054,4.6,3.1,1.5,0.2,Iris-setosa
1055,5,3.6,1.4,0.2,Iris-setosa
1056,5.4,3.9,1.7,0.4,Iris-setosa
1057,4.6,3.4,1.4,0.3,Iris-setosa
1058,5,3.4,1.5,0.2,Iris-setosa
1059,4.4,2.9,1.4,0.2,Iris-setosa
1060,4.9,3.1,1.5,0.1,Iris-setosa
1061,5.4,3.7,1.5,0.2,Iris-setosa
1062,4.8,3.4,1.6,0.2,Iris-setosa
1063,4.8,3,1.4,0.1,Iris-setosa
1064,4.3,3,1.1,0.1,Iris-setosa
1065,5.8,4,1.2,0.2,Iris-setosa
1066,5.7,4.4,1.5,0.4,Iris-setosa
1067,5.4,3.9,1.3,0.4,Iris-setosa
1068,5.1,3.5,1.4,0.3,Iris-setosa
1069,5.7,3.8,1.7,0.3,Iris-setosa
1070,5.1,3.8,1.5,0.3,Iris-setosa
1071,5.4,3.4,1.7,0.2,Iris-setosa
1072,5.1,3.7,1.5,0.4,Iris-setosa
1073,4.6,3.6,1,0.2,Iris-setosa
1074,5.1,3.3,1.7,0.5,Iris-setosa
1075,4.8,3.4,1.9,0.2,Iris-setosa
1076,5,3,1.6,0.2,Iris-setosa
1077,5,3.4,1.6,0.4,Iris-setosa
1078,5.2,3.5,1.5,0.2,Iris-setosa
1079,5.2,3.4,1.4,0.2,Iris-setosa
1080,4.7,3.2,1.6,0.2,Iris-setosa
1081,4.8,3.1,1.6,0.2,Iris-setosa
1082,5.4,3.4,1.5,0.4,Iris-setosa
1083,5.2,4.1,1.5,0.1,Iris-setosa
1084,5.5,4.2,1.4,0.2,Iris-setosa
1085,4.9,3.1,1.5,0.1,Iris-setosa
1086,5,3.2,1.2,0.2,Iris-setosa
1087,5.5,3.5,1.3,0.2,Iris-setosa
1088,4.9,3.1,1.5,0.1,Iris-setosa
1089,4.4,3,1.3,0.2,Iris-setosa
1090,5.1,3.4,1.5,0.2,Iris-setosa
1091,5,3.5,1.3,0.3,Iris-setosa
1092,4.5,2.3,1.3,0.3,Iris-setosa
1093,4.4,3.2,1.3,0.2,Iris-setosa
